"year","zone","indicator","measure","value"
"2008-2009","S01001792","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",20
"2008-2009","S01001792","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",18
"2008-2009","S01001792","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",23
"2008-2009","S01001792","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",18
"2008-2009","S01001792","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",13
"2008-2009","S01001792","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",4
"2008-2009","S01001792","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",26
"2008-2009","S01001792","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",32
"2008-2009","S01001792","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",38
"2008-2009","S01001792","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",48
"2008-2009","S01001792","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",66
"2008-2009","S01001792","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",24
"2008-2009","S01001792","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",31
"2008-2009","S01001792","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",39
"2008-2009","S01001792","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",48
"2008-2009","S01001792","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",68
"2008-2009","S01001792","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",15
"2008-2009","S01001792","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",6
"2008-2009","S01001792","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",543
"2008-2009","S01001792","Estimated Median Gross Total Household Income Per Week","Median",571
"2008-2009","S01001792","Estimated Median Net Total Household Income Per Week","Median",469
"2008-2009","S01001792","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",424
"2008-2009","S01001792","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",364
"2008-2009","S01001792","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",393
"2008-2009","S01001792","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",551
"2008-2009","S01001792","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",375
"2008-2009","S01001793","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",8
"2008-2009","S01001793","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",8
"2008-2009","S01001793","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",17
"2008-2009","S01001793","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",15
"2008-2009","S01001793","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",17
"2008-2009","S01001793","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",13
"2008-2009","S01001793","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",12
"2008-2009","S01001793","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",2
"2008-2009","S01001793","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",27
"2008-2009","S01001793","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",33
"2008-2009","S01001793","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",38
"2008-2009","S01001793","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",44
"2008-2009","S01001793","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",57
"2008-2009","S01001793","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",25
"2008-2009","S01001793","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",33
"2008-2009","S01001793","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",39
"2008-2009","S01001793","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",46
"2008-2009","S01001793","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",57
"2008-2009","S01001793","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",9
"2008-2009","S01001793","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",3
"2008-2009","S01001793","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",575
"2008-2009","S01001793","Estimated Median Gross Total Household Income Per Week","Median",609
"2008-2009","S01001793","Estimated Median Net Total Household Income Per Week","Median",505
"2008-2009","S01001793","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",466
"2008-2009","S01001793","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",444
"2008-2009","S01001793","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",469
"2008-2009","S01001793","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",595
"2008-2009","S01001793","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",419
"2008-2009","S01001794","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",7
"2008-2009","S01001794","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",7
"2008-2009","S01001794","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",18
"2008-2009","S01001794","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",17
"2008-2009","S01001794","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",18
"2008-2009","S01001794","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",12
"2008-2009","S01001794","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",12
"2008-2009","S01001794","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001794","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",27
"2008-2009","S01001794","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",35
"2008-2009","S01001794","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",39
"2008-2009","S01001794","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",46
"2008-2009","S01001794","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",57
"2008-2009","S01001794","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",25
"2008-2009","S01001794","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",32
"2008-2009","S01001794","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",39
"2008-2009","S01001794","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",46
"2008-2009","S01001794","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",59
"2008-2009","S01001794","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",10
"2008-2009","S01001794","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",2
"2008-2009","S01001794","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",536
"2008-2009","S01001794","Estimated Median Gross Total Household Income Per Week","Median",584
"2008-2009","S01001794","Estimated Median Net Total Household Income Per Week","Median",506
"2008-2009","S01001794","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",469
"2008-2009","S01001794","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",474
"2008-2009","S01001794","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",493
"2008-2009","S01001794","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",588
"2008-2009","S01001794","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",425
"2008-2009","S01001795","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",6
"2008-2009","S01001795","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",6
"2008-2009","S01001795","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",8
"2008-2009","S01001795","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",6
"2008-2009","S01001795","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",11
"2008-2009","S01001795","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",2
"2008-2009","S01001795","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",5
"2008-2009","S01001795","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001795","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",10
"2008-2009","S01001795","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",16
"2008-2009","S01001795","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",25
"2008-2009","S01001795","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",33
"2008-2009","S01001795","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",53
"2008-2009","S01001795","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",12
"2008-2009","S01001795","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",18
"2008-2009","S01001795","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",24
"2008-2009","S01001795","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",34
"2008-2009","S01001795","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",49
"2008-2009","S01001795","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001795","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",2
"2008-2009","S01001795","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",746
"2008-2009","S01001795","Estimated Median Gross Total Household Income Per Week","Median",743
"2008-2009","S01001795","Estimated Median Net Total Household Income Per Week","Median",594
"2008-2009","S01001795","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",537
"2008-2009","S01001795","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",512
"2008-2009","S01001795","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",532
"2008-2009","S01001795","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",840
"2008-2009","S01001795","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",491
"2008-2009","S01001796","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",4
"2008-2009","S01001796","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",4
"2008-2009","S01001796","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",15
"2008-2009","S01001796","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",15
"2008-2009","S01001796","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",16
"2008-2009","S01001796","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",13
"2008-2009","S01001796","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",12
"2008-2009","S01001796","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001796","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",22
"2008-2009","S01001796","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",25
"2008-2009","S01001796","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",26
"2008-2009","S01001796","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",28
"2008-2009","S01001796","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",37
"2008-2009","S01001796","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",21
"2008-2009","S01001796","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",22
"2008-2009","S01001796","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",26
"2008-2009","S01001796","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",28
"2008-2009","S01001796","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",37
"2008-2009","S01001796","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001796","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",2
"2008-2009","S01001796","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",661
"2008-2009","S01001796","Estimated Median Gross Total Household Income Per Week","Median",704
"2008-2009","S01001796","Estimated Median Net Total Household Income Per Week","Median",637
"2008-2009","S01001796","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",531
"2008-2009","S01001796","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",533
"2008-2009","S01001796","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",507
"2008-2009","S01001796","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",605
"2008-2009","S01001796","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",489
"2008-2009","S01001797","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",14
"2008-2009","S01001797","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",14
"2008-2009","S01001797","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",23
"2008-2009","S01001797","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",21
"2008-2009","S01001797","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",27
"2008-2009","S01001797","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",17
"2008-2009","S01001797","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",19
"2008-2009","S01001797","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",5
"2008-2009","S01001797","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",40
"2008-2009","S01001797","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",50
"2008-2009","S01001797","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",60
"2008-2009","S01001797","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",67
"2008-2009","S01001797","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",78
"2008-2009","S01001797","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",37
"2008-2009","S01001797","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",49
"2008-2009","S01001797","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",59
"2008-2009","S01001797","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",67
"2008-2009","S01001797","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",81
"2008-2009","S01001797","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",21
"2008-2009","S01001797","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",8
"2008-2009","S01001797","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",392
"2008-2009","S01001797","Estimated Median Gross Total Household Income Per Week","Median",449
"2008-2009","S01001797","Estimated Median Net Total Household Income Per Week","Median",341
"2008-2009","S01001797","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",353
"2008-2009","S01001797","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",325
"2008-2009","S01001797","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",355
"2008-2009","S01001797","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",458
"2008-2009","S01001797","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",318
"2008-2009","S01001798","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",4
"2008-2009","S01001798","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",4
"2008-2009","S01001798","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",0
"2008-2009","S01001798","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",12
"2008-2009","S01001798","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",14
"2008-2009","S01001798","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",10
"2008-2009","S01001798","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",11
"2008-2009","S01001798","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001798","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",16
"2008-2009","S01001798","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",20
"2008-2009","S01001798","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",22
"2008-2009","S01001798","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",27
"2008-2009","S01001798","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",40
"2008-2009","S01001798","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",18
"2008-2009","S01001798","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",19
"2008-2009","S01001798","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",22
"2008-2009","S01001798","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",28
"2008-2009","S01001798","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",39
"2008-2009","S01001798","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001798","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",2
"2008-2009","S01001798","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",702
"2008-2009","S01001798","Estimated Median Gross Total Household Income Per Week","Median",721
"2008-2009","S01001798","Estimated Median Net Total Household Income Per Week","Median",646
"2008-2009","S01001798","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",539
"2008-2009","S01001798","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",519
